2.5000000000000000e-01	273	542	1.2420380524567287e+01	4.0830063692450098e+00
2.4208094643140746e-01	291	578	1.2430393834953533e+01	4.0950743920641370e+00
2.3441273850050387e-01	310	616	1.2438135980985791e+01	4.0984303367308437e+00
2.2698743036712002e-01	334	664	1.2446714724739996e+01	4.1021034054320156e+00
2.1979732788522244e-01	340	676	1.2447575348911441e+01	4.1031226436132950e+00
2.1283498063019612e-01	386	768	1.2463478285696043e+01	4.1175417519924187e+00
2.0609317417867259e-01	396	788	1.2465309547297471e+01	4.1181530979243979e+00
1.9956492263290387e-01	417	830	1.2467713297962824e+01	4.1194693643953704e+00
1.9324346138193590e-01	451	898	1.2478035659810224e+01	4.1272243887461419e+00
1.8712224009208073e-01	486	968	1.2484579163209462e+01	4.1302118078765178e+00
1.8119491591942383e-01	527	1050	1.2491250028431628e+01	4.1362177806271294e+00
1.7545534693733367e-01	562	1120	1.2496075766517206e+01	4.1392449937971234e+00
1.6989758577216274e-01	573	1142	1.2496924954433405e+01	4.1377278815741567e+00
1.6451587344054552e-01	621	1238	1.2502480129812684e+01	4.1418051348525315e+00
1.5930463338190765e-01	657	1310	1.2506038461197175e+01	4.1462084482389070e+00
1.5425846568000234e-01	711	1418	1.2510606877940567e+01	4.1492822850305604e+00
1.4937214146748701e-01	749	1494	1.2513115839210233e+01	4.1518100288303312e+00
1.4464059750774136e-01	810	1616	1.2517170561335945e+01	4.1538580181781901e+00
1.4005893094831320e-01	851	1698	1.2519466421392712e+01	4.1553745283312082e+00
1.3562239424055522e-01	906	1808	1.2522213890897703e+01	4.1570958915259508e+00
1.3132639022018830e-01	955	1906	1.2524451433134180e+01	4.1591954932608139e+00
1.2716646734369405e-01	1040	2076	1.2528231357796582e+01	4.1605480474907663e+00
1.2313831507560050e-01	1098	2192	1.2530159674938604e+01	4.1639335712609080e+00
1.1923775942188086e-01	1166	2328	1.2532241389593603e+01	4.1631819951854130e+00
1.1546075860483757e-01	1246	2488	1.2534587625673177e+01	4.1659442363221837e+00
1.1180339887498940e-01	1337	2670	1.2536697875147850e+01	4.1673332183878147e+00
1.0826189045562236e-01	1431	2858	1.2538553764085826e+01	4.1696970657361616e+00
1.0483256361580168e-01	1514	3024	1.2540133318484630e+01	4.1694966975450765e+00
1.0151186486777600e-01	1612	3220	1.2541786218349232e+01	4.1714729922047571e+00
9.8296353284833410e-02	1711	3418	1.2543165269047535e+01	4.1718399089979163e+00
9.5182696935793842e-02	1829	3654	1.2544640575738455e+01	4.1733767455322619e+00
9.2167669432443200e-02	1945	3886	1.2545895875747437e+01	4.1748369378712100e+00
8.9248146586331817e-02	2084	4164	1.2547295795885434e+01	4.1745049298505528e+00
8.6421103171472766e-02	2239	4474	1.2548629990297773e+01	4.1765812944577618e+00
8.3683609789585736e-02	2379	4754	1.2549653943035231e+01	4.1769041973306811e+00
8.1032829834638040e-02	2524	5044	1.2550634378097353e+01	4.1785409870320889e+00
7.8466016553537465e-02	2681	5358	1.2551545011484437e+01	4.1782665248373876e+00
7.5980510199931336e-02	2860	5716	1.2552475356224011e+01	4.1788200900019099e+00
7.3573735278162342e-02	3051	6098	1.2553365185464340e+01	4.1796529377367282e+00
7.1243197874525488e-02	3273	6542	1.2554230200583435e+01	4.1801129817615825e+00
6.8986483073060670e-02	3442	6880	1.2554806292097611e+01	4.1806611360220840e+00
6.6801252453203189e-02	3710	7416	1.2555659812611982e+01	4.1812223942811242e+00
6.4685241666699228e-02	3965	7926	1.2556355865849666e+01	4.1818502571116545e+00
6.2636258091275446e-02	4263	8522	1.2557051442440397e+01	4.1822070464629002e+00
6.0652178558631455e-02	4485	8966	1.2557516225408113e+01	4.1827921178837100e+00
5.8730947154400887e-02	4768	9532	1.2558047376614139e+01	4.1823693151462091e+00
5.6870573087801371e-02	5154	10304	1.2558668528457531e+01	4.1834115825379996e+00
5.5069128628765944e-02	5428	10852	1.2559056514236767e+01	4.1834808386345648e+00
5.3324747110418298e-02	5819	11634	1.2559562431006110e+01	4.1839938329411233e+00
5.1635620994822086e-02	6214	12424	1.2559993572917309e+01	4.1842493265019174e+00
4.9999999999999933e-02	6564	13124	1.2560331287788001e+01	4.1846353299580619e+00
4.8416189286281427e-02	7074	14144	1.2560768834216608e+01	4.1849280743426611e+00
4.6882547700100710e-02	7529	15054	1.2561097139052194e+01	4.1850762058065438e+00
4.5397486073423941e-02	7949	15894	1.2561374992530332e+01	4.1853633266354846e+00
4.3959465577044429e-02	8509	17014	1.2561708080491476e+01	4.1855838151238762e+00
4.2566996126039168e-02	8992	17980	1.2561964354958201e+01	4.1856615481310877e+00
4.1218634835734465e-02	9677	19350	1.2562271052050411e+01	4.1857241245695596e+00
3.9912984526580722e-02	10293	20582	1.2562515870337233e+01	4.1860417289366589e+00
3.8648692276387127e-02	10890	21776	1.2562728204569245e+01	4.1861087938590753e+00
3.7424448018416094e-02	11717	23430	1.2562984664789930e+01	4.1863145482598387e+00
3.6238983183884715e-02	12439	24874	1.2563184809891810e+01	4.1866093137048068e+00
3.5091069387466686e-02	13293	26582	1.2563389390471196e+01	4.1866497355880385e+00
3.3979517154432502e-02	14160	28316	1.2563563611584399e+01	4.1868720730159952e+00
3.2903174688109063e-02	30206	60408	2.5127475906552426e+01	8.3741303731602272e+00
3.1860926676381490e-02	16122	32240	1.2563907118579802e+01	4.1869524933179854e+00
3.0851693136000433e-02	17074	34144	1.2564045689665241e+01	4.1871574095516833e+00
2.9874428293497367e-02	18403	36802	1.2564212831758505e+01	4.1872872900444502e+00
2.8928119501548236e-02	19553	39102	1.2564338359144386e+01	4.1873442633642668e+00
2.8011786189662609e-02	41735	83466	2.5128927371885258e+01	8.3750761342801265e+00
2.7124478848111012e-02	22234	44464	1.2564583208450264e+01	4.1875200792993121e+00
2.6265278044037627e-02	23597	47190	1.2564688342499837e+01	4.1876169609312557e+00
2.5433293468738780e-02	25270	50536	1.2564798425021483e+01	4.1876421905168648e+00
2.4627663015120069e-02	26821	53638	1.2564891867907312e+01	4.1877404668032181e+00
2.3847551884376143e-02	28641	57278	1.2564984312024935e+01	4.1878142951734114e+00
2.3092151720967485e-02	30663	61322	1.2565076458186869e+01	4.1878967129680023e+00
2.2360679774997852e-02	32631	65258	1.2565152885970354e+01	4.1879762536796665e+00
2.1652378091124445e-02	34883	69762	1.2565232661680872e+01	4.1880237681135943e+00
2.0966512723160309e-02	37086	74168	1.2565300099824938e+01	4.1880419150218851e+00
2.0302372973555173e-02	39646	79288	1.2565368871535794e+01	4.1880294590475318e+00
1.9659270656966658e-02	42181	84358	1.2565428638107312e+01	4.1881465173866719e+00
1.9036539387158744e-02	44947	89890	1.2565487166908392e+01	4.1881825161291104e+00
1.8433533886488617e-02	47854	95704	1.2565540751106523e+01	4.1882034095757339e+00
1.7849629317266340e-02	51143	102282	1.2565593523061029e+01	4.1882493769971960e+00
1.7284220634294533e-02	54486	108968	1.2565641832843689e+01	4.1882367913766636e+00
1.6736721957917131e-02	58209	116414	1.2565688018930258e+01	4.1883115481807556e+00
1.6206565966927593e-02	61867	123730	1.2565728195964436e+01	4.1883068858910351e+00
1.5693203310707480e-02	66295	132586	1.2565771238792484e+01	4.1883590507279083e+00
1.5196102039986255e-02	70452	140900	1.2565806420518888e+01	4.1883875444577665e+00
1.4714747055632457e-02	74953	149902	1.2565840197184775e+01	4.1884098824055460e+00
1.4248639574905086e-02	80070	160136	1.2565874157693182e+01	4.1884199914299760e+00
1.3797296614612122e-02	85601	171198	1.2565906079674212e+01	4.1884599581134330e+00
1.3360250490640626e-02	91355	182706	1.2565935445763822e+01	4.1884659143356888e+00
1.2937048333339835e-02	195110	390216	2.5131925361202530e+01	8.3770421192304898e+00
1.2527251618255079e-02	103810	207616	1.2565987633614583e+01	4.1885068336502522e+00
1.2130435711726281e-02	110578	221152	1.2566010906778693e+01	4.1885244113406701e+00
1.1746189430880167e-02	236500	472996	2.5132067942873732e+01	8.3771409005853226e+00
1.1374114617560264e-02	126008	252012	1.2566055083411097e+01	4.1885676911032172e+00
1.1013825725753179e-02	134129	268254	1.2566074026203902e+01	4.1885754205415191e+00
1.0664949422083651e-02	143238	286472	1.2566092994793571e+01	4.1885906433092979e+00
1.0327124198964409e-02	152778	305552	1.2566110264566511e+01	4.1886027973274800e+00
