# Pickles 1998
# Habets 1981
# Solar units except Teff (K), rotperiod in days
#SpType            teff          lumi         rad      mass      Mbol    rotperiod
#|S9            float64       float64     float64   float64   float64      float64
    wK2III  4634.469197     41.687124   10.041340  2.500000  0.700000   253.939314
    rK2III  4446.312675      7.943318    4.762025  2.500000  2.500000   120.428684
    K3III   4365.158322     50.118947   12.410569  2.500000  0.500000   313.855644
    wK3III  4415.704474     95.499684   16.741396  2.500000 -0.200000   423.379614
    rK3III  4375.221052     18.197090    7.443748  2.500000  1.600000   188.247814
    K4III   4226.686143    125.893102   20.979333  2.500000 -0.500000   530.554426
    wK4III  4246.195639    199.527120   26.169274  2.500000 -1.000000   661.804845
    rK4III  4226.686143     45.709023   12.641298  2.500000  0.600000   319.690656
    K5III   4008.667176    263.027971   33.712556  2.500000 -1.300000   852.569795
    rK5III  3990.249024    104.713321   21.468005  2.500000 -0.300000   542.912627
    M0III   3819.442708    457.090226   48.954394  2.500000 -1.900000  1238.026504
    M1III   3775.721909    549.543322   54.927734  2.500000 -2.100000  1389.088584
    M2III   3706.807218    660.696391   62.487289  2.500000 -2.300000  1580.265076
    M3III   3630.780548    794.331773   71.415369  2.500000 -2.500000  1806.050718
    M4III   3556.313186   1047.133213   85.465666  2.500000 -2.800000  2161.374096
    M5III   3419.794425   1258.931020  101.342516  2.500000 -3.000000  2562.889857
    M6III   3250.872974   1995.271203  141.186016  2.500000 -3.500000  3570.507439
    M7III   3126.079367   2630.279709  175.303942  2.500000 -3.800000  4433.328801
    M8III   2890.679882   3801.910900  246.485674  2.500000 -4.200000  6233.470984
    M9III   2666.858665   5495.433219  348.170268  2.500000 -4.600000  8805.011798
    M10III  2500.345362   7943.317733  476.202512  2.500000 -5.000000 12042.868446
    B2II   15995.580286  19952.712034   18.441306  1.000000 -6.000000   932.738575
    B5II   12589.254118   7943.317733   18.784156  1.000000 -5.000000   950.079479
    F0II    7943.282347    794.331773   14.920785  1.000000 -2.500000   754.674956
    F2II    7328.245331    724.439187   16.741396  1.000000 -2.400000   846.759227
    G5II    5248.074602    870.967470   35.792471  1.000000 -2.600000  1810.339127
    K01II   5011.872336   1047.133213   43.032015  1.000000 -2.800000  2176.506347
    K34II   4255.984131   1380.390414   68.515950  1.000000 -3.100000  3465.452400
    M3II    3411.929116   3467.383951  168.963027  1.000000 -4.100000  8545.941939
    B0I    26001.595632 288404.435081   26.533325  1.500000 -8.900000  1342.022935
    B1I    20701.413488 165959.430051   31.753506  1.500000 -8.300000  1606.053240
    B3I    15595.525028  87096.746990   40.531407  1.500000 -7.600000  2050.028685
    B5I    13396.766874  60256.227034   45.686899  1.500000 -7.200000  2310.787119
    B8I    11194.378835  45709.022584   56.989085  1.500000 -6.900000  2882.437757
