  -0.103548121D+04   0.263646170D+04  -0.313851035D+04   0.266921650D+04  -0.175425649D+04   0.905061566D+03  -0.361216484D+03   0.106560886D+03  -0.209941198D+02   0.210531829D+01
  -0.781670963D+02   0.225828110D+03  -0.255928874D+03   0.208353686D+03  -0.131636547D+03   0.655374582D+02  -0.253298548D+02   0.725928283D+01  -0.139314218D+01   0.136345437D+00
  -0.588971626D+02   0.190423506D+03  -0.224778189D+03   0.189721335D+03  -0.123803188D+03   0.634661816D+02  -0.251922743D+02   0.739946853D+01  -0.145310113D+01   0.145421783D+00
  -0.530409584D+02   0.181671067D+03  -0.220239023D+03   0.191427385D+03  -0.128765684D+03   0.680425044D+02  -0.278241602D+02   0.841234736D+01  -0.169914203D+01   0.174820289D+00
  -0.482426384D+00   0.486741362D+02  -0.578454281D+02   0.495539781D+02  -0.329087270D+02   0.171862909D+02  -0.695149639D+01   0.208038271D+01  -0.416202763D+00   0.424395436D-01
  -0.829370042D+03   0.211542363D+04  -0.251260779D+04   0.213196723D+04  -0.139806465D+04   0.719842081D+03  -0.286790530D+03   0.844808963D+02  -0.166245728D+02   0.166567271D+01
  -0.654245234D+02   0.195270523D+03  -0.221467038D+03   0.180389216D+03  -0.114007094D+03   0.567728424D+02  -0.219452489D+02   0.628968173D+01  -0.120707955D+01   0.118132948D+00
  -0.481735379D+02   0.163025202D+03  -0.192484164D+03   0.162536839D+03  -0.106101212D+03   0.544027470D+02  -0.215961993D+02   0.634300986D+01  -0.124549437D+01   0.124624583D+00
  -0.418400315D+02   0.152191154D+03  -0.184237656D+03   0.159975189D+03  -0.107517943D+03   0.567726726D+02  -0.232004849D+02   0.701036505D+01  -0.141523885D+01   0.145543453D+00
   0.651925747D+00   0.450275884D+02  -0.534026177D+02   0.456815490D+02  -0.302984387D+02   0.158046023D+02  -0.638567005D+01   0.190909219D+01  -0.381564736D+00   0.388716317D-01
  -0.789198429D+03   0.201835114D+04  -0.240155649D+04   0.204103563D+04  -0.134030948D+04   0.690890742D+03  -0.275491566D+03   0.811985145D+02  -0.159831693D+02   0.160142262D+01
  -0.567462993D+02   0.174357648D+03  -0.197895169D+03   0.161296566D+03  -0.102001879D+03   0.508229468D+02  -0.196554768D+02   0.563607466D+01  -0.108211205D+01   0.105945397D+00
  -0.409709134D+02   0.144537629D+03  -0.170679745D+03   0.144184385D+03  -0.941588248D+02   0.482947745D+02  -0.191757600D+02   0.563281869D+01  -0.110609312D+01   0.110673477D+00
  -0.348374016D+02   0.133661346D+03  -0.161604026D+03   0.140195163D+03  -0.941498452D+02   0.496787348D+02  -0.202884540D+02   0.612685683D+01  -0.123621319D+01   0.127069382D+00
   0.133305818D+01   0.427219814D+02  -0.505942481D+02   0.432343899D+02  -0.286493505D+02   0.149319515D+02  -0.602840629D+01   0.180096959D+01  -0.359706453D+00   0.366207182D-01
  -0.682265440D+03   0.175056838D+04  -0.208381202D+04   0.177178458D+04  -0.116403348D+04   0.600302743D+03  -0.239478728D+03   0.706153910D+02  -0.139059510D+02   0.139387487D+01
  -0.464638996D+02   0.149345358D+03  -0.169527405D+03   0.138192000D+03  -0.873993836D+02   0.435515083D+02  -0.168449005D+02   0.483055126D+01  -0.927509997D+00   0.908126867D-01
  -0.330279108D+02   0.124047004D+03  -0.146494498D+03   0.123824998D+03  -0.809166283D+02   0.415286262D+02  -0.164981382D+02   0.484842782D+01  -0.952395952D+00   0.953193121D-01
  -0.276402314D+02   0.114494647D+03  -0.138192016D+03   0.119733183D+03  -0.803189158D+02   0.423377996D+02  -0.172743343D+02   0.521213012D+01  -0.105080616D+01   0.107930490D+00
   0.200745951D+01   0.402954301D+02  -0.476392107D+02   0.406600538D+02  -0.269150036D+02   0.140144226D+02  -0.565286682D+01   0.168734510D+01  -0.336741680D+00   0.342564474D-01
  -0.942295463D+03   0.240161428D+04  -0.285833747D+04   0.243074775D+04  -0.159753660D+04   0.824261239D+03  -0.329007612D+03   0.970747851D+02  -0.191289671D+02   0.191870731D+01
