# CALIBRATION DONE VIA bohlin-MODEL of VEGA
# ----------------------------------- NOTES ON INDIVIDUAL SYSTEMS  -------
# ----------------------------------- can be important!!!          -------
#
# Johnson calibration from Asagio A&A card (Vega from UBVRIJKLMNH Photo-electric Catalogue, Morel et al., 1978)
# Landolt UBVRI from synphot http://www.stsci.edu/hst/HST_overview/documents/synphot/c034.html#335184
#    references in synphot are Bohlin & Gilliland (2004), Maíz Apellániz (2006), Holberg & Bergeron (2006)
# TD1 calibration derived myself
# SDSS calibration from site above, but VEGA mags from Holberg & Bergeron 2006, compatible with http://www.sdss.org/dr6/algorithms/sdssUBVRITransform.html
# GALEX from http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html
#   ---> make sure to take the GALEX calibration from the literature, this is much safer I guess
# GAIA Calibrations are pre-launch and thus only for simulation purposes
# MIPS from Rieke et al, 2006 or Engelbrach (ssc.spitzer.caltech.edu/mips/calib)
#      Be careful, IRAC and MIPS calibrations are not for the 'weighted average'
#      flux, but com readily from the calibration tables.
#      Here, the lambda_eff is calculated as the weighted average of the
#      response curve
# BESSEL response curves from CHORIZOS, zeropoints from Bessel, 1990
# IPHAS is defined as 0 magnitude for r', i' and Ha band for Vega (Drew et al., 2005)
# UVEX is defined as 0 magnitude in all bands (Paul Groot, priv. comm.)
# WISE zeropoints defined in Wright 2010 ""zeropoints on the Vega system in the WISE passbands of Flam = 8.180e−15, 2.415e−15, 6.515e−17 & 5.090e−18 W/cm2/µm, which convert""
# STROMGREN calibration from Maiz-Apellaniz (2007) (used to be from synphot user guide and earlier from Asagio A&A card)
#    ----> used to be STROMGREN   U   3.25e-09   0   0   0   1.288   1.06679608688e-08   
#                     STROMGREN   V   7.18e-09   0   0   0   0.040   7.57261249786e-09   
#                     STROMGREN   B   5.81e-09   0   0   0   -0.120   5.11028586313e-09   
#                     STROMGREN   Y   3.70e-09   0   0   0   -0.123   3.20363998209e-09
#    ----> SYNPHOT: STROMGREN   U   3.25e-09   0   0   0   1.459   1.24876700135e-08   
#                   STROMGREN   V   7.18e-09   0   0   0   0.206   8.82359841247e-09   
#                   STROMGREN   B   5.81e-09   0   0   0   0.045   5.949016791e-09   
#                   STROMGREN   Y   3.70e-09   0   0   0   0.038   3.71572620327e-09
#    ----> MAIZ-APELLANIZ: STROMGREN   U   -   0   0   0   1.432   -
#                          STROMGREN   V   -   0   0   0   0.179   -
#                          STROMGREN   B   -   0   0   0   0.018   -
#                          STROMGREN   Y   -   0   0   0   0.014   -
#=================================
# THE FOLLOWING SYSTEMS HAVE BEEN THOROUGHLY CHECKED (both zeropoints and magnitude)
#
#- STROMGREN (Maiz-Apellaniz 2007, Chorizos)
#- 2MASS     (Maiz-Apellaniz 2007, Chorizos)
#- SDSS      (Maiz-Apellaniz 2007, Chorizos)
#- TYCHO2    (Maiz-Apellaniz 2007, Chorizos)
#- COUSINS   (Maiz-Apellaniz 2007, Chorizos)
#- LANDOLT   (SYNPHOT, but confusion between B2 and B3 (same zeropoint assumed))
#- GENEVA    (Rufener database and GCPD)
#- BESSELL   (Bessel, 1990)  #-- but based on old Vega model (1980, see paper): Use colors (otherwise ZP(B)=-0.102)
#
#
# THE FOLLOWING SYSTEMS ARE VERY UNCERTAIN
#- JOHNSON
#=================================
#passband         eff_wave type transmission   vegamag vegamag_lit ABmag ABmag_lit STmag STmag_lit       Flam0 Flam0_units Flam0_lit        Fnu0 Fnu0_units   Fnu0_lit source                                                               
#|S50                  >f8 |S3  >f8                >f8       int32   >f8     int32   >f8     int32         >f8 |S50            int32         >f8 |S50            int32 |S100                                                                
 ANS.25               2493 CCD  0.0         -0.0606239           0   nan         0     0         1 3.83928e-09 erg/s/cm2/AA         0 7.93652e-21 erg/s/cm2/Hz        0 Wesselius1980                                                        
 ANS.33            3295.35 CCD  0.0           0.102499           0   nan         0     0         1  3.3037e-09 erg/s/cm2/AA         0 1.19709e-20 erg/s/cm2/Hz        0 Wesselius1980                                                        
 ARGUE.R            6874.8 CCD  0.0              0.285           1   nan         0   nan         0 1.80973e-09 erg/s/cm2/AA         0 2.84994e-20 erg/s/cm2/Hz        0 GCPD                                                                 
 ARGUE.R8          8485.73 CCD  0.0              0.303           1   nan         0   nan         0 1.00692e-09 erg/s/cm2/AA         0 2.39435e-20 erg/s/cm2/Hz        0 GCPD                                                                 
 ARGUE.R9          8459.11 CCD  0.0              0.321           1   nan         0   nan         0 1.00354e-09 erg/s/cm2/AA         0 2.37691e-20 erg/s/cm2/Hz        0 GCPD                                                                 
 BESSELL.B         4386.01 CCD  0.0             -0.104           1   nan         0   nan         0 6.28778e-09 erg/s/cm2/AA         0 4.01367e-20 erg/s/cm2/Hz        0 Bessel1990                                                           
 BESSELL.I         8035.48 CCD  0.0              0.443           1   nan         0   nan         0 1.13147e-09 erg/s/cm2/AA         0  2.4206e-20 erg/s/cm2/Hz        0 Bessel1990                                                           
 BESSELL.R         6526.85 CCD  0.0              0.193           1   nan         0   nan         0  2.1693e-09 erg/s/cm2/AA         0 3.02812e-20 erg/s/cm2/Hz        0 Bessel1990                                                           
 BESSELL.U         3592.66 CCD  0.0               0.79           1   nan         0   nan         0 4.00565e-09 erg/s/cm2/AA         0 1.74442e-20 erg/s/cm2/Hz        0 Bessel1990                                                           
 BESSELL.V         5490.66 CCD  0.0              0.008           1   nan         0   nan         0 3.60833e-09 erg/s/cm2/AA         0 3.65041e-20 erg/s/cm2/Hz        0 Bessel1990                                                           
 COROT.EXO         6651.03 CCD  0.0                nan           0   nan         0   nan         0 2.23245e-09 erg/s/cm2/AA         0  3.3517e-20 erg/s/cm2/Hz        0 nan                                                                  
 COROT.SIS         6578.73 CCD  0.0                nan           0   nan         0   nan         0 2.30564e-09 erg/s/cm2/AA         0 3.38325e-20 erg/s/cm2/Hz        0 nan                                                                  
 COUSINS.I         7884.05 CCD  0.0              0.017           1   nan         0   nan         0 1.19379e-09 erg/s/cm2/AA         0 2.46938e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 COUSINS.R         6499.87 CCD  0.0               0.03           1   nan         0   nan         0 2.19313e-09 erg/s/cm2/AA         0 3.06728e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 DENIS.I           7825.32 CCD  0.0               0.04           0   nan         0   nan         0     1.2e-08 W/m2/mum            1        2499 Jy                  1 Fouque_etal.2000                                                     
 DENIS.J             12374 CCD  0.0              0.032           0   nan         0   nan         0    3.17e-09 W/m2/mum            1        1595 Jy                  1 Fouque_etal.2000                                                     
 DENIS.KS            21415 CCD  0.0              0.041           0   nan         0   nan         0    4.34e-10 W/m2/mum            1         665 Jy                  1 Fouque_etal.2000                                                     
 DIRBE.F100         977021 BOL  0.0                nan           0   nan         0   nan         0 1.43337e-17 erg/s/cm2/AA         0 4.48346e-24 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F12          122948 BOL  0.0                nan           0   nan         0   nan         0 6.51648e-14 erg/s/cm2/AA         0  3.1533e-22 erg/s/cm2/Hz        0 nan                                                                  
